TRAINING_DATA_TYPE,QUESTIONS,CONTENT,ALTERNATE QUESTIONS
sql,Can you retrieve product information for active customers? ,"SELECT PRODUCT_DIVISION, PRODUCT_DIVISION_CODE,CUSTOMER_CODE,CUSTOMER_NAME,CUSTOMER_GROUP FROM STG_CUSTOMER_MASTER WHERE UDC_ACTIVE_CUST = 1;","1.	Mention product divisions and customer details that are associated with active customers.
2.	Can you provide a list of active customers along with their product division, division code, and customer group?
3.	Retrieve the customer codes and names for all active customers in the system, along with their product division and group information.
4.	List customers which belong to specific product divisions and are currently marked as active in the STG_CUSTOMER_MASTER table.
5.	List the product division and customer information for all customers marked as active."
sql,Give me sales history by SKU and location,"SELECT pm.TYPE, pm.PRODUCT,sh.LOCATION,  sum(sh.QUANTITY) as SALES, sh.SALES_DATE FROM PRODUCT_MASTER pm JOIN SALES_HISTORY sh ON pm.PRODUCT = sh.PRODUCT WHERE pm.TYPE LIKE '%SKU%' group by pm.PRODUCT,sh.LOCATION, sh.SALES_DATE, pm.TYPE ORDER BY sh.SALES_DATE; ","1.	Give the total quantity sold for each product type in different locations, grouped by sales date.
2.	Can you provide the sales summary for each product type, including the product name, location, and total sales, for a specific date range?
3.	Mention number of units of each SKU type that were sold per location, with results organized by sales date.
4.	Give the sales figures for all products categorized as SKUs, broken down by location and sales date.
5.	Can you show the total sales for each SKU type by location and sales date?"
sql,Give the customers that are mapped to a HR Product Group.,"SELECT PRODUCT_DIVISION,PRODUCT_DIVISION_CODE,CUSTOMER_CODE FROM STG_CUSTOMER_MASTER WHERE product_division = 'HRC';","1.	Give the customer codes associated with the 'HR' product division.
2.	Mention customer codes belonging to the 'HR' product division.
3.	What product division and customer code details do we have for the 'HR' division?"
sql,List forecast data for last month at lowest level.,"SELECT f.PRODUCT, f.CUSTOMER, f.LOCATION,  FORECASTDATE AS FORECAST_DATE, f.FORECAST AS FORECAST_QUANTITY FROM FCSTPERFSTATIC f LEFT JOIN [LOCATION_MASTER] l ON f.LOCATION = l.LOCATION LEFT JOIN [PRODUCT_MASTER] p ON f.PRODUCT = p.PRODUCT LEFT JOIN [CUSTOMER_MASTER] c ON f.CUSTOMER = c.CUSTOMER WHERE l.LEVEL = 1  AND p.LEVEL = 1 AND c.CUSTOMER_LEVEL = 1 and FORECASTDATE = FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-1, 0), 'yyyy-dd-MM');","1.	Give details of products and customers include their forecast quantities for the last month.
2.	Obtain forecast data for products at level 111, including customer and location information for the previous month.
3.	Give the last month forecast quantities by product and customer for locations at level 111.
4.	Show records of forecasted quantities for products, customers, and locations from the last month.
5.	List forecasts by product and customer for locations categorized at level 111 for the previous month."
sql,List the forecast data for future 3 months at higher level.,"SELECT f.PRODUCT, f.CUSTOMER, f.LOCATION,  FORECAST_DATE, f.QUANTITY as FORECAST_QUANTITY FROM FORECAST f LEFT JOIN [LOCATION_MASTER] l ON f.LOCATION = l.LOCATION LEFT JOIN [PRODUCT_MASTER] p ON f.PRODUCT = p.PRODUCT LEFT JOIN [CUSTOMER_MASTER] c ON f.CUSTOMER = c.CUSTOMER WHERE l.LEVEL = 2  AND p.LEVEL = 6 AND c.CUSTOMER_LEVEL = 7 and FORECAST_DATE IN ( FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())+1, 0), 'yyyy-dd-MM'), FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())+2, 0), 'yyyy-dd-MM'), FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())+3, 0), 'yyyy-dd-MM'));","1.	Give the forecast quantities for each product, customer, and location for the next three months.
2.	Show the products and customers that have forecast data for locations at level 2 for upcoming three months.
3.	Retrieve forecast information for products at level 6 and customers at level 7 for the next three months.
4.	What records exist for forecast quantities by product and customer for locations categorized at level 2 for the next three months?
5.	Give details available for forecasted quantities for customers and products in the level 672 over the next three months.
6.	What is the forecast data for products, customers, and locations where the levels meet specified criteria for the upcoming months?
7.	Show how forecast quantities for each product and customer vary for the next three forecast dates in locations at level 2."
sql,Show me sales data by customer region level.,"SELECT h.CUSTOMER, h.SALES_DATE, sum(h.QUANTITY) as SALES_QUANTITY, c.REGION FROM [SALES_HISTORY] h JOIN [CUSTOMER_MASTER] c ON h.CUSTOMER = c.CUSTOMER WHERE c.CUSTOMER_LEVEL = 1 group by h.CUSTOMER, h.SALES_DATE, c.REGION;","1.	What is the total sales quantity by customer and sales date for customers at level 1?
2.	Can we find the total sales quantity and associated region for each customer at level 1 by sales date?
3.	How do sales quantities vary by customer and sales date for customers categorized at level 1?"
sql,Show me top 10 high sales volume SKU and location having low forecast accuracy.,"SELECT top 10 f.product, f.customer, f.location, f.forecastdate AS FORECAST_DATE, SUM(f.FORECAST) AS FORECAST_QUANTITY, SUM(f.SALES) AS ACTUAL_SALES,  CASE  WHEN f.MAPE > 100 THEN 0 ELSE (100 - f.MAPE) END AS FORECAST_ACCURACY FROM FCSTPERFSTATIC f LEFT JOIN [LOCATION_MASTER] l ON f.LOCATION = l.LOCATION LEFT JOIN [PRODUCT_MASTER] p ON f.PRODUCT = p.PRODUCT LEFT JOIN [CUSTOMER_MASTER] c ON f.CUSTOMER = c.CUSTOMER WHERE lag in (1,2,3) and (l.LEVEL = 1  AND p.LEVEL = 1 AND c.CUSTOMER_LEVEL = 1) and forecastdate= DATEFROMPARTS(YEAR(GETDATE()), 1, MONTH(GETDATE())) GROUP BY f.product, f.customer, f.location, f.forecastdate, f.MAPE order by ACTUAL_SALES desc, FORECAST_ACCURACY asc;	
","1.	What are the top 10 products, customers, and locations with the highest actual sales and their corresponding forecast accuracy?
2.	Identify the forecast quantities and actual sales along with the accuracy for products and customers for a current month.
3.	Tell me the details that are available regarding forecast accuracy for the top products and customers based on actual sales.
4.	Can we retrieve the accuracy for top products, their customers, and locations along with forecast and actual sales data for level 111?
5.	Compare the forecast quantities and actual sales for the top 10 entries, considering the level 111 for locations, products, and customers."
sql,Compare forecast accuracy against actual sales at lowest level for previous month.,"SELECT f.PRODUCT, f.CUSTOMER, f.LOCATION, f.START_DATE, f.FORECAST AS FORECAST_QUANTITY, f.SALES AS ACTUAL_SALES, (100 - f.MAPE) AS FORECAST_ACCURACY FROM FCSTPERFSTATIC f LEFT JOIN [LOCATION_MASTER] l ON f.LOCATION = l.LOCATION  LEFT JOIN [PRODUCT_MASTER] p ON f.PRODUCT = p.PRODUCT LEFT JOIN [CUSTOMER_MASTER] c ON f.CUSTOMER = c.CUSTOMER WHERE  l.LEVEL = 1  AND p.LEVEL = 1 AND c.CUSTOMER_LEVEL = 1 AND lag=0 and f.START_DATE = DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-1, 0);
","1.	Evaluate the relationship between forecast quantities and actual sales for the previous month.
2.	Analyze forecast accuracy for products and customers at the lowest level based on last month’s data.
3.	Assess the performance of forecasts in terms of accuracy and actual sales for the previous month.
4.	Investigate the forecast and sales figures for products and customers categorized at level 111 from last month.
5.	Determine the forecast accuracy for products and customers at the lowest level based on actual sales for the previous month.
6.	Review the accuracy of forecasts compared to actual sales for the lowest level products, customers and location for last month."
sql,Show me the top 10 customers by total sales volume as per previous month.,"SELECT TOP 10 sh.CUSTOMER, sh.SALES_DATE, SUM(sh.QUANTITY) AS Total_Sales FROM [SALES_HISTORY] sh LEFT JOIN CUSTOMER_MASTER C ON C.CUSTOMER=sh.CUSTOMER WHERE sh.SALES_DATE = FORMAT(DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE())-1, 0), 'yyyy-dd-MM') AND c.CUSTOMER_LEVEL = 1 GROUP BY  sh.CUSTOMER, sh.SALES_DATE ORDER BY Total_Sales DESC;","1.	List the top 10 customers with the highest sales from last month.
2.	Provide an overview of the top customers ranked by total sales volume for the last month.
3.	Highlight the top 10 customers based on their total sales quantity for the previous month's sales date.
4.	Who are the top 10 customers based on total sales figures from last month?
5.	Which customers achieved the highest sales volume for the previous month?
6.	Can you provide a ranking of the top 10 customers by total sales for last month?
7.	What are the names of the top customers by sales quantity recorded for the previous month?"
sql,Analyze sales history by region and product division for last 36 months.,"SELECT sh.CUSTOMER, sh.PRODUCT, SUM(sh.QUANTITY) AS SALES,sh.SALES_DATE FROM [SALES_HISTORY] sh LEFT JOIN [PRODUCT_MASTER] p ON sh.PRODUCT = p.PRODUCT LEFT JOIN [CUSTOMER_MASTER] c ON sh.CUSTOMER = c.CUSTOMER WHERE c.CUSTOMER_LEVEL = 7 AND p.LEVEL = 6 AND sh.SALES_DATE BETWEEN DATEADD(MONTH, -36, CAST(GETDATE() AS DATE)) AND GETDATE() GROUP BY sh.CUSTOMER, sh.PRODUCT, sh.SALES_DATE;
","1.	Evaluate the total sales by customer and product over the last 36 months.
2.	What are the sales trends for specific products among customers at level 7 during the past three years?
3.	Examine how sales quantities have changed by customer and product over the previous three years.
4.	What are the total sales figures for customers and products for the last 36 months?"
